date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Coal (Brown) -  GWh,Gas (Steam) -  GWh,Gas (OCGT) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Coal (Brown) Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Coal (Brown) Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (OCGT) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-10-09,-3.75,-175.55,44.22,609.37,0.00,1.54,3.41,45.71,223.86,23.92,99.05,26.00,14.29,7.10,135082.00,3680.30,726316.00,0.00,976.01,834.27,21.96,-90391.00,15180805.00,0.00,125446.86,209555.00,2384378.00,1574164.00,-7235.00,-1741884.00
2023-10-16,-3.76,-162.58,43.96,542.76,0.00,2.60,2.68,46.70,240.85,24.68,123.36,29.00,16.60,8.00,115718.00,3801.50,646553.00,0.00,1504.63,752.47,29.19,-40397.00,17755660.00,0.00,395194.43,215177.70,3801551.00,2085483.00,300737.00,-95319.00
2023-10-23,-4.91,-111.11,64.47,503.25,0.00,0.37,4.29,31.06,220.80,29.11,132.12,25.20,14.03,7.50,80349.00,16470.20,600553.00,0.00,228.83,690.99,11.26,-299021.00,7242494.00,0.00,27511.80,287077.00,2153187.00,2025237.00,-760958.00,-7895402.00
2023-10-30,-3.58,-94.16,39.24,518.72,0.00,1.26,2.88,29.57,202.48,32.31,126.45,23.70,14.41,9.10,70703.00,11703.70,616971.00,0.00,875.67,722.49,17.42,-173971.63,9887492.00,0.00,136896.62,142826.20,2398626.00,2574531.00,-816808.00,-6777692.00
2023-11-06,-3.87,-146.14,40.34,576.30,0.00,7.05,2.86,39.31,168.97,41.73,142.21,33.10,20.05,12.10,115695.00,8652.00,687238.00,0.00,4290.22,796.00,42.91,-96582.00,25132620.00,0.00,1000838.52,272108.00,4167481.00,3573307.00,116314.00,-3774640.00
2023-11-13,-3.95,-111.66,54.67,550.64,0.00,17.45,3.61,49.88,101.79,41.37,139.45,20.70,15.03,11.70,95440.00,17647.00,656989.00,0.00,10110.11,791.11,64.12,-64252.00,36000904.00,0.00,1517805.97,329052.00,5784432.00,6942862.00,-91498.00,-3906858.00
2023-11-20,-3.55,-142.99,33.98,585.41,0.00,1.42,2.82,33.34,195.24,36.56,113.89,27.60,18.13,13.90,113418.00,9671.80,699497.00,0.00,940.05,818.14,51.12,-9588.00,31180945.00,0.00,184713.00,237548.00,2963775.00,8876941.00,564461.00,-127522.00
2023-11-27,-2.66,-213.06,22.75,611.60,0.00,0.10,2.04,38.11,262.50,37.10,100.25,23.70,17.03,13.80,159210.00,3539.14,729325.00,0.00,84.03,849.42,19.86,-45650.00,14804058.00,0.00,5391.26,104442.40,2145601.00,4138857.00,-308184.00,-1820564.00
2023-12-04,-2.59,-132.93,37.35,584.68,3.85,3.98,1.90,59.70,191.10,31.60,118.67,32.80,19.75,13.10,101808.00,16291.10,695346.00,2195.10,2451.10,780.09,63.84,17022.00,37170686.00,481407.00,528367.00,188622.00,6290952.00,8716467.00,895665.00,3272827.00
2023-12-11,-3.04,-110.57,62.82,531.36,6.01,11.40,2.57,44.29,191.76,38.34,129.34,33.70,20.41,12.20,84261.00,20494.00,630292.00,3427.00,6567.20,708.06,61.61,-42760.00,32479136.00,653315.00,1162542.00,266742.00,4326427.00,11147133.00,743800.00,-52680.00
2023-12-18,-3.30,-182.92,38.40,505.88,2.76,1.59,2.63,16.92,270.98,31.38,144.05,26.00,18.41,12.80,128062.00,7231.00,598540.00,1571.00,914.46,725.55,12.58,-144166.00,7833664.00,248814.00,131617.00,107411.10,871466.00,3469023.00,-797338.00,-6718247.00
2023-12-25,-2.81,-180.26,33.72,508.58,0.00,0.00,2.15,10.47,208.14,30.96,130.31,23.80,17.99,14.20,136536.00,5454.20,605320.00,0.00,0.00,816.61,1.43,-214324.00,2301073.00,0.00,0.00,73355.00,513955.80,-98262.00,-899453.00,-10175283.00
2024-01-01,-1.92,-134.41,31.09,564.80,0.00,0.54,1.51,45.85,169.75,39.12,124.48,32.60,21.16,12.90,108865.00,10332.00,678796.00,0.00,446.70,807.84,41.03,-17226.70,22869550.00,0.00,52703.00,107223.00,3315709.00,6482661.00,397856.00,-548391.00
2024-01-08,-2.88,-164.98,24.89,631.29,0.00,2.06,1.96,42.21,169.94,49.22,138.56,33.40,20.31,15.80,133504.00,4995.80,755560.00,0.00,1190.66,848.12,38.12,-79831.00,25912990.00,0.00,202814.20,150227.00,3164848.00,3830819.00,356702.00,-1555152.00
2024-01-15,-2.93,-177.59,34.00,585.65,0.00,1.07,2.27,30.30,246.77,40.57,128.65,31.20,20.59,14.10,133447.00,9470.40,697806.00,0.00,614.64,785.84,20.06,-91864.10,13123916.00,0.00,77587.81,133231.30,1966799.00,4692668.00,-476540.00,-2691417.00
2024-01-22,-2.84,-167.96,31.05,652.70,0.00,1.24,2.28,35.76,147.20,32.74,140.34,31.20,19.91,12.30,145779.00,8414.60,782150.00,0.00,834.19,897.39,25.36,-219305.00,15538501.00,0.00,131768.29,110373.00,2844991.00,2428749.00,22510.00,-7002048.00
2024-01-29,-3.45,-170.69,32.62,657.38,0.00,8.84,2.76,35.30,155.59,50.36,167.03,37.30,20.46,12.20,148367.00,6352.60,788811.00,0.00,5215.79,848.55,34.08,-146144.00,23992286.00,0.00,1014634.23,263939.00,3511704.00,3849463.00,-591590.00,-5446041.00
2024-02-05,-3.40,-153.52,36.12,613.69,0.00,1.36,2.72,36.09,175.18,47.07,145.95,32.90,19.52,12.40,126471.00,8934.40,730762.00,0.00,797.48,811.72,27.02,-119948.00,18394616.00,0.00,140508.82,181085.00,2587926.00,4726808.00,-604538.00,-4795139.00
2024-02-12,-3.46,-128.59,28.39,561.44,5.85,36.08,2.64,78.63,148.66,49.85,143.47,35.80,19.82,12.50,99442.00,8804.30,662819.00,3333.00,22402.82,746.04,353.05,426170.00,95381419.00,4695029.00,42665653.32,1378951.00,54976831.00,47117915.00,9236019.00,52155088.00
2024-02-19,-3.81,-140.80,38.32,625.30,6.02,8.80,3.04,48.36,203.31,42.01,134.96,35.70,21.54,11.90,112675.00,12458.30,741209.00,3434.00,5818.47,777.27,51.85,-62132.00,28902454.00,857028.00,1047173.80,242399.00,4833770.00,8914254.00,1040831.00,1010920.00
