date,Energy Type,Energy Generated (GWh)
16/09/2024 0:00,Battery (Charging),-2.81
16/09/2024 0:00,Exports,-1274
16/09/2024 0:00,Imports,547.43
16/09/2024 0:00,Coal (Brown),4156.33
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),7.49
16/09/2024 0:00,Hydro,145.78
16/09/2024 0:00,Wind,1685
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-19.75
16/09/2024 0:00,Exports,-1204
16/09/2024 0:00,Imports,517.97
16/09/2024 0:00,Coal (Brown),4054
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),4.08
16/09/2024 0:00,Hydro,0.89
16/09/2024 0:00,Wind,1714.17
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-10.88
16/09/2024 0:00,Exports,-1209.5
16/09/2024 0:00,Imports,428.22
16/09/2024 0:00,Coal (Brown),3997
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),2.74
16/09/2024 0:00,Hydro,0.88
16/09/2024 0:00,Wind,1699.33
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-0.38
16/09/2024 0:00,Exports,-1222.67
16/09/2024 0:00,Imports,461.98
16/09/2024 0:00,Coal (Brown),3875.17
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),12.84
16/09/2024 0:00,Hydro,0.92
16/09/2024 0:00,Wind,1630.83
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-139.04
16/09/2024 0:00,Exports,-1225.5
16/09/2024 0:00,Imports,512.37
16/09/2024 0:00,Coal (Brown),3853.33
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0.03
16/09/2024 0:00,Hydro,0.93
16/09/2024 0:00,Wind,1650.33
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-106.5
16/09/2024 0:00,Exports,-1201.33
16/09/2024 0:00,Imports,544.02
16/09/2024 0:00,Coal (Brown),3612.5
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.94
16/09/2024 0:00,Wind,1639.5
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-61.34
16/09/2024 0:00,Exports,-1156.5
16/09/2024 0:00,Imports,470.67
16/09/2024 0:00,Coal (Brown),3502.83
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0.07
16/09/2024 0:00,Hydro,0.95
16/09/2024 0:00,Wind,1659.67
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-60.24
16/09/2024 0:00,Exports,-1192.33
16/09/2024 0:00,Imports,420.08
16/09/2024 0:00,Coal (Brown),3463.67
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0
16/09/2024 0:00,Hydro,0.98
16/09/2024 0:00,Wind,1751.67
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-94.52
16/09/2024 0:00,Exports,-1156.33
16/09/2024 0:00,Imports,407.97
16/09/2024 0:00,Coal (Brown),3508.33
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0.09
16/09/2024 0:00,Hydro,0.95
16/09/2024 0:00,Wind,1741.17
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-14.21
16/09/2024 0:00,Exports,-1166.33
16/09/2024 0:00,Imports,396.03
16/09/2024 0:00,Coal (Brown),3518.67
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),8.37
16/09/2024 0:00,Hydro,0.97
16/09/2024 0:00,Wind,1676.5
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-7.16
16/09/2024 0:00,Exports,-1127.33
16/09/2024 0:00,Imports,413.15
16/09/2024 0:00,Coal (Brown),3563
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),5.77
16/09/2024 0:00,Hydro,0.92
16/09/2024 0:00,Wind,1660.67
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-10.23
16/09/2024 0:00,Exports,-1217.33
16/09/2024 0:00,Imports,435.55
16/09/2024 0:00,Coal (Brown),3888.67
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),22.69
16/09/2024 0:00,Hydro,0.92
16/09/2024 0:00,Wind,1595.83
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0
16/09/2024 0:00,Battery (Charging),-12.13
16/09/2024 0:00,Exports,-974.15
16/09/2024 0:00,Imports,426.18
16/09/2024 0:00,Coal (Brown),4120.83
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),0.77
16/09/2024 0:00,Hydro,0.95
16/09/2024 0:00,Wind,1436.5
16/09/2024 0:00,Solar (Utility),0
16/09/2024 0:00,Solar (Rooftop),0.18
16/09/2024 0:00,Battery (Charging),-4.97
16/09/2024 0:00,Exports,-1007.33
16/09/2024 0:00,Imports,369.17
16/09/2024 0:00,Coal (Brown),4625
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),48.05
16/09/2024 0:00,Hydro,61.16
16/09/2024 0:00,Wind,1429.83
16/09/2024 0:00,Solar (Utility),6.4
16/09/2024 0:00,Solar (Rooftop),7.75
16/09/2024 0:00,Battery (Charging),0
16/09/2024 0:00,Exports,-809.43
16/09/2024 0:00,Imports,278.62
16/09/2024 0:00,Coal (Brown),4724.67
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),133.1
16/09/2024 0:00,Hydro,91.83
16/09/2024 0:00,Wind,1432
16/09/2024 0:00,Solar (Utility),50.82
16/09/2024 0:00,Solar (Rooftop),73.72
16/09/2024 0:00,Battery (Charging),0
16/09/2024 0:00,Exports,-473.05
16/09/2024 0:00,Imports,239.98
16/09/2024 0:00,Coal (Brown),4764.83
16/09/2024 0:00,Gas (Steam),0
16/09/2024 0:00,Gas (OCGT),0.1
16/09/2024 0:00,Battery (Discharging),76.58
16/09/2024 0:00,Hydro,0.9
16/09/2024 0:00,Wind,1381.33
16/09/2024 0:00,Solar (Utility),158.34
16/09/2024 0:00,Solar (Rooftop),215.85
16/09/2024 0:00,Battery (Charging),0
16/09/2024 0:00,Exports,-477.95
16/09/2024 0:00,Imports,264.9
16/09/2024 0:00,Coal (Brown),4745.67
16/09/2024 0:00,Gas (Steam),0
